@date: 2014-06-26
@url: http://www.quanthistling.info/data/source/fastmowitz2008/dictionary-85-344.html
@source_title: Diccionario Achuar-Shiwiar ~ Castellano
@source_author: Fast Mowitz, Gerhard & de Fast, Ruby Warkentin & Fast Warkentin, Daniel
@source_year: 2008
QLCID	HEAD	HEAD_DOCULECT	TRANSLATION	TRANSLATION_DOCULECT	POS
fastmowitz2008/85/1	áa	Achuar-Shiwiar	afuera	Castellano	adv.
fastmowitz2008/85/1	áa	Achuar-Shiwiar	fuera de	Castellano	adv.
fastmowitz2008/85/1	áanam	Achuar-Shiwiar	afuera	Castellano	adv.
fastmowitz2008/85/1	áanam	Achuar-Shiwiar	fuera de	Castellano	adv.
fastmowitz2008/85/1	áanum	Achuar-Shiwiar	afuera	Castellano	adv.
fastmowitz2008/85/1	áanum	Achuar-Shiwiar	fuera de	Castellano	adv.
fastmowitz2008/85/2	aaíktin	Achuar-Shiwiar	quitarse (la camisa)	Castellano	v.t.
fastmowitz2008/85/3	aáimkatin	Achuar-Shiwiar	contestar	Castellano	v.t.
fastmowitz2008/85/4	aáimtsuk	Achuar-Shiwiar	sin contestar	Castellano	adv.
fastmowitz2008/85/5	áakiam	Achuar-Shiwiar	súngaro	Castellano	s.
fastmowitz2008/85/5	áakiam	Achuar-Shiwiar	doncella (esp. de pez)	Castellano	s.
fastmowitz2008/85/6	áakmakmau	Achuar-Shiwiar	tambo (albergue provisional)	Castellano	s.
fastmowitz2008/85/6	áakmakmau	Achuar-Shiwiar	ramada	Castellano	s.
fastmowitz2008/85/6	áakmakmau	Achuar-Shiwiar	choza	Castellano	s.
fastmowitz2008/85/6	áakmamu	Achuar-Shiwiar	tambo (albergue provisional)	Castellano	s.
fastmowitz2008/85/6	áakmamu	Achuar-Shiwiar	ramada	Castellano	s.
fastmowitz2008/85/6	áakmamu	Achuar-Shiwiar	choza	Castellano	s.
fastmowitz2008/85/7	áakratin	Achuar-Shiwiar	convidar	Castellano	v.t.
fastmowitz2008/85/7	áakratin	Achuar-Shiwiar	ofrecer bebidas	Castellano	v.t.
fastmowitz2008/85/8	á̱a̱kratin	Achuar-Shiwiar	hacer bromas pesadas	Castellano	v.i.
fastmowitz2008/85/9	á̱a̱kratin	Achuar-Shiwiar	persona que hace bromas pesadas	Castellano	s.
fastmowitz2008/85/10	á̱a̱makmau	Achuar-Shiwiar	broma pesada	Castellano	s.
fastmowitz2008/85/11	á̱a̱maktin	Achuar-Shiwiar	bromear	Castellano	v.i.
fastmowitz2008/85/11	á̱a̱maktin	Achuar-Shiwiar	hacer bromas	Castellano	v.i.
fastmowitz2008/85/12	áamtikramu	Achuar-Shiwiar	dictado	Castellano	adj.
fastmowitz2008/85/13	áamtikratin	Achuar-Shiwiar	dictar	Castellano	v.c.
fastmowitz2008/85/13	áamtikratin	Achuar-Shiwiar	hacer escribir	Castellano	v.c.
fastmowitz2008/85/14	áamtikratin	Achuar-Shiwiar	persona que dicta palabras	Castellano	s.
fastmowitz2008/85/16	á̱a̱nikiartin	Achuar-Shiwiar	bromear	Castellano	v.i.
fastmowitz2008/85/16	á̱a̱nikiartin	Achuar-Shiwiar	hacer bromas pesadas	Castellano	v.i.
fastmowitz2008/85/17	áantskatin	Achuar-Shiwiar	hacer cargar	Castellano	v.c.
fastmowitz2008/85/17	áantskatin	Achuar-Shiwiar	hacer llevar a la espalda (niños, canastas, etc.)	Castellano	v.c.
fastmowitz2008/85/19	áanumanini	Achuar-Shiwiar	hacia afuera	Castellano	adv.
fastmowitz2008/85/20	áangkamu	Achuar-Shiwiar	abertura grande	Castellano	s.
fastmowitz2008/85/20	áangkamu	Achuar-Shiwiar	espacio libre	Castellano	s.
fastmowitz2008/85/20	áangkamu	Achuar-Shiwiar	ventana	Castellano	s.
fastmowitz2008/85/20	angkáakmau	Achuar-Shiwiar	abertura grande	Castellano	s.
fastmowitz2008/85/20	angkáakmau	Achuar-Shiwiar	espacio libre	Castellano	s.
fastmowitz2008/85/20	angkáakmau	Achuar-Shiwiar	ventana	Castellano	s.
fastmowitz2008/85/21	áangkatin	Achuar-Shiwiar	librar de árboles o de mala hierba	Castellano	v.t.
fastmowitz2008/85/22	áangtuatin	Achuar-Shiwiar	dar campo	Castellano	v.c.
fastmowitz2008/85/22	áangtuatin	Achuar-Shiwiar	dar espacio	Castellano	v.c.
fastmowitz2008/85/23	áangtuatin	Achuar-Shiwiar	abrir el paso	Castellano	v.t.
fastmowitz2008/85/24	áapatin	Achuar-Shiwiar	poner en la boca	Castellano	v.t.
fastmowitz2008/85/25	á̱a̱patin	Achuar-Shiwiar	templar (mosquitero)	Castellano	v.t.
fastmowitz2008/85/26	áapengmau	Achuar-Shiwiar	embarazo fuera del matrimonio	Castellano	s.
fastmowitz2008/85/27	áapengmauri	Achuar-Shiwiar	su hijo ilegítimo	Castellano	
fastmowitz2008/85/28	áapengtin	Achuar-Shiwiar	empreñar a una mujer fuera del matrimonio	Castellano	v.i.
fastmowitz2008/85/29	áapkamu	Achuar-Shiwiar	de un solo color	Castellano	adj.
fastmowitz2008/85/30	áapkatin	Achuar-Shiwiar	urdir	Castellano	v.t.
fastmowitz2008/85/30	áapkatin	Achuar-Shiwiar	alternar el color cuando se hacen coronas de plumas	Castellano	v.t.
fastmowitz2008/85/30	áapkatin	Achuar-Shiwiar	juntar las dos partes de una pucuna	Castellano	v.t.
fastmowitz2008/85/30	áapkatin	Achuar-Shiwiar	embocar	Castellano	v.t.
fastmowitz2008/85/30	áapkatin	Achuar-Shiwiar	poner algo en la boca	Castellano	v.t.
fastmowitz2008/85/30	áapratin	Achuar-Shiwiar	urdir	Castellano	v.t.
fastmowitz2008/85/30	áapratin	Achuar-Shiwiar	alternar el color cuando se hacen coronas de plumas	Castellano	v.t.
fastmowitz2008/85/30	áapratin	Achuar-Shiwiar	juntar las dos partes de una pucuna	Castellano	v.t.
fastmowitz2008/85/30	áapratin	Achuar-Shiwiar	embocar	Castellano	v.t.
fastmowitz2008/85/30	áapratin	Achuar-Shiwiar	poner algo en la boca	Castellano	v.t.
fastmowitz2008/86/1	áapramu	Achuar-Shiwiar	alternado (colores en cintas o enagüillas)	Castellano	adj.
fastmowitz2008/86/2	sénta áapramu	Achuar-Shiwiar	colores alternados de una cinta	Castellano	
fastmowitz2008/86/4	áari	Achuar-Shiwiar	las afueras	Castellano	s.pos.
fastmowitz2008/86/4	áari	Achuar-Shiwiar	los alrededores	Castellano	s.pos.
fastmowitz2008/86/4	áari	Achuar-Shiwiar	los contornos	Castellano	s.pos.
fastmowitz2008/86/4	áari	Achuar-Shiwiar	el exterior	Castellano	s.pos.
fastmowitz2008/86/5	jéa áari	Achuar-Shiwiar	el exterior de la casa	Castellano	
fastmowitz2008/86/5	jéa áari	Achuar-Shiwiar	el patio	Castellano	
fastmowitz2008/86/6	áarmau	Achuar-Shiwiar	escrito	Castellano	adj.
fastmowitz2008/86/7	pápi áarmau	Achuar-Shiwiar	papel escrito	Castellano	
fastmowitz2008/86/8	áarmawa núnisang	Achuar-Shiwiar	al pie de la letra (lit. tal como está escrito)	Castellano	
fastmowitz2008/86/9	áarmau	Achuar-Shiwiar	escritura	Castellano	s.
fastmowitz2008/86/10	áartin	Achuar-Shiwiar	escribir	Castellano	v.t.
fastmowitz2008/86/10	áartin	Achuar-Shiwiar	dar de tomar	Castellano	v.t.
